tt1220198 {'critics_score': 19, 'audience_score': 43} 
tt0450405 {'critics_score': 38, 'audience_score': 50} 
tt1078940 {'critics_score': 11, 'audience_score': 47} 
tt0899106 {'critics_score': 17, 'audience_score': 39} 
tt1201167 {'critics_score': 68, 'audience_score': 58} 
tt0889583 {'critics_score': 67, 'audience_score': 48} 
tt1152836 {'critics_score': 68, 'audience_score': 65} 
tt0457400 {'critics_score': 26, 'audience_score': 38} 
tt0361748 {'critics_score': 88, 'audience_score': 87} 
tt0821642 {'critics_score': 56, 'audience_score': 58} 
tt0473705 {'critics_score': 84, 'audience_score': 71} 
tt1131729 {'critics_score': 60, 'audience_score': 72} 
tt1127180 {'critics_score': 92, 'audience_score': 61} 
tt1013752 {'critics_score': 27, 'audience_score': 76} 
tt1135487 {'critics_score': 64, 'audience_score': 38} 
tt0420238 {'critics_score': 56, 'audience_score': 46} 
tt0430922 {'critics_score': 77, 'audience_score': 75} 
tt0870111 {'critics_score': 92, 'audience_score': 86} 
tt1054588 {'critics_score': 59, 'audience_score': 56} 
tt0452608 {'critics_score': 43, 'audience_score': 69} 
tt1104123 {'critics_score': -1, 'audience_score': 31} 
tt1024255 {'critics_score': 42, 'audience_score': 68} 
tt0859163 {'critics_score': 13, 'audience_score': 40} 
tt0795421 {'critics_score': 54, 'audience_score': 76} 
tt0411477 {'critics_score': 87, 'audience_score': 70} 
tt0493464 {'critics_score': 71, 'audience_score': 72} 
tt0800080 {'critics_score': 67, 'audience_score': 75} 
tt0379865 {'critics_score': 52, 'audience_score': 40} 
tt0800039 {'critics_score': 84, 'audience_score': 75} 
tt0494652 {'critics_score': 22, 'audience_score': 64} 
tt0832266 {'critics_score': 70, 'audience_score': 72} 
tt0972785 {'critics_score': -1, 'audience_score': 73} 
tt0974959 {'critics_score': -1, 'audience_score': 63} 
tt0472062 {'critics_score': 81, 'audience_score': 73} 
tt0765429 {'critics_score': 80, 'audience_score': 87} 
tt0414055 {'critics_score': 35, 'audience_score': 62} 
tt0783233 {'critics_score': 83, 'audience_score': 79} 
tt0431197 {'critics_score': 51, 'audience_score': 78} 
tt0440963 {'critics_score': 94, 'audience_score': 91} 
tt0762107 {'critics_score': 14, 'audience_score': 73} 
tt0413099 {'critics_score': 23, 'audience_score': 56} 
tt0435528 {'critics_score': -1, 'audience_score': 44} 
tt0453451 {'critics_score': 50, 'audience_score': 53} 
tt0455760 {'critics_score': 20, 'audience_score': 57} 
tt0478311 {'critics_score': -1, 'audience_score': 15} 
tt0401997 {'critics_score': 84, 'audience_score': 65} 
tt0425112 {'critics_score': 91, 'audience_score': 88} 
tt0490084 {'critics_score': 5, 'audience_score': 68} 
tt0343737 {'critics_score': 54, 'audience_score': 52} 
tt0475394 {'critics_score': 29, 'audience_score': 64} 
tt0457939 {'critics_score': 47, 'audience_score': 81} 
tt0482374 {'critics_score': 50, 'audience_score': 23} 
tt0483726 {'critics_score': 21, 'audience_score': 51} 
tt0206634 {'critics_score': 93, 'audience_score': 81} 
tt0384793 {'critics_score': 36, 'audience_score': 75} 
tt0387877 {'critics_score': 32, 'audience_score': 31} 
tt0430357 {'critics_score': 47, 'audience_score': 48} 
tt0463034 {'critics_score': 21, 'audience_score': 59} 
tt0463985 {'critics_score': 35, 'audience_score': 80} 
tt0452594 {'critics_score': 34, 'audience_score': 52} 
tt0405336 {'critics_score': 35, 'audience_score': 42} 
tt0475276 {'critics_score': 91, 'audience_score': 77} 
